station name: SAUK CITY WWTP,,,,,,,,,,
station identifier: 477576,,,,,,,,,,
key: T=trace | M=missing | blank=unknown,,,,,,,,,,
,maximum,minimum,precipitation,snowfall,snow depth,time of,time of,time of,time of,time of
,temperature,temperature,,,,observation,observation,observation,observation,observation
Date,max_temp,min_temp,precipitation,snowfall,snow_depth,maxt,mint,pcpn,snow,snwd
date,(degrees F),(degrees F),(inches),(inches),(inches),(hour),(hour),(hour),(hour),(hour)
1/10/07,M,M,0,0,0,,,7,7,7
1/11/07,M,M,M,M,M,,,,,
1/12/07,M,M,0.01,0,0,,,7,7,7
1/13/07,M,M,0,0,0,,,8,8,8
1/14/07,M,M,0.01,0.5,1,,,10,10,10
1/15/07,M,M,0.01,2.6,3,,,7,7,7
1/16/07,M,M,0.01,0.8,4,,,8,8,8
1/17/07,M,M,M,M,M,,,,,
1/18/07,M,M,0.01,0.3,4,,,7,7,7
1/19/07,M,M,0.02,0.2,M,,,7,7,
1/20/07,M,M,M,M,M,,,,,
1/21/07,M,M,M,M,M,,,,,
1/22/07,M,M,M,M,M,,,,,
1/23/07,M,M,M,M,M,,,,,
1/24/07,M,M,M,M,M,,,,,
1/25/07,M,M,M,M,M,,,,,
1/26/07,M,M,M,M,M,,,,,
1/27/07,M,M,M,M,M,,,,,
1/28/07,M,M,M,M,M,,,,,
1/29/07,M,M,M,M,M,,,,,
1/30/07,M,M,M,M,M,,,,,
1/31/07,M,M,M,M,M,,,,,
2/1/07,M,M,M,M,M,,,,,
2/2/07,M,M,M,M,M,,,,,
2/3/07,M,M,M,M,M,,,,,
2/4/07,M,M,M,M,M,,,,,
2/5/07,M,M,M,M,M,,,,,
2/6/07,M,M,M,M,M,,,,,
2/7/07,M,M,M,M,M,,,,,
2/8/07,M,M,M,M,M,,,,,
2/9/07,M,M,M,M,M,,,,,
2/10/07,M,M,M,M,M,,,,,
2/11/07,M,M,M,M,M,,,,,
2/12/07,M,M,M,M,M,,,,,
2/13/07,M,M,M,M,M,,,,,
2/14/07,M,M,M,M,M,,,,,
2/15/07,M,M,M,M,M,,,,,
2/16/07,M,M,M,M,M,,,,,
2/17/07,M,M,M,M,M,,,,,
2/18/07,M,M,M,M,M,,,,,
2/19/07,M,M,M,M,M,,,,,
2/20/07,M,M,M,M,M,,,,,
2/21/07,M,M,M,M,M,,,,,
2/22/07,M,M,M,M,M,,,,,
2/23/07,M,M,M,M,M,,,,,
2/24/07,M,M,M,M,M,,,,,
2/25/07,M,M,M,M,M,,,,,
2/26/07,M,M,M,M,M,,,,,
2/27/07,M,M,M,M,M,,,,,
2/28/07,M,M,M,M,M,,,,,
3/1/07,M,M,M,M,M,,,,,
3/2/07,M,M,M,M,M,,,,,
3/3/07,M,M,M,M,M,,,,,
3/4/07,M,M,M,M,M,,,,,
3/5/07,M,M,M,M,M,,,,,
3/6/07,M,M,M,M,M,,,,,
3/7/07,M,M,M,M,M,,,,,
3/8/07,M,M,M,M,M,,,,,
3/9/07,M,M,M,M,M,,,,,
3/10/07,M,M,M,M,M,,,,,
3/11/07,M,M,M,M,M,,,,,
3/12/07,M,M,M,M,M,,,,,
3/13/07,M,M,M,M,M,,,,,
3/14/07,M,M,M,M,M,,,,,
3/15/07,M,M,M,M,M,,,,,
3/16/07,M,M,M,M,M,,,,,
3/17/07,M,M,M,M,M,,,,,
3/18/07,M,M,M,M,M,,,,,
3/19/07,M,M,M,M,M,,,,,
3/20/07,M,M,M,M,M,,,,,
3/21/07,M,M,M,M,M,,,,,
3/22/07,M,M,M,M,M,,,,,
3/23/07,M,M,M,M,M,,,,,
3/24/07,M,M,M,M,M,,,,,
3/25/07,M,M,M,M,M,,,,,
3/26/07,M,M,M,M,M,,,,,
3/27/07,M,M,M,M,M,,,,,
3/28/07,M,M,M,M,M,,,,,
3/29/07,M,M,M,M,M,,,,,
3/30/07,M,M,M,M,M,,,,,
3/31/07,M,M,M,M,M,,,,,
4/1/07,M,M,M,M,M,,,,,
4/2/07,M,M,M,M,M,,,,,
4/3/07,M,M,M,M,M,,,,,
4/4/07,M,M,M,M,M,,,,,
4/5/07,M,M,M,M,M,,,,,
4/6/07,M,M,M,M,M,,,,,
4/7/07,M,M,M,M,M,,,,,
4/8/07,M,M,M,M,M,,,,,
4/9/07,M,M,M,M,M,,,,,
4/10/07,M,M,M,M,M,,,,,
4/11/07,M,M,M,M,M,,,,,
4/12/07,M,M,M,M,M,,,,,
4/13/07,M,M,M,M,M,,,,,
4/14/07,M,M,M,M,M,,,,,
4/15/07,M,M,M,M,M,,,,,
4/16/07,M,M,M,M,M,,,,,
4/17/07,M,M,M,M,M,,,,,
4/18/07,M,M,M,M,M,,,,,
4/19/07,M,M,M,M,M,,,,,
4/20/07,M,M,M,M,M,,,,,
4/21/07,M,M,M,M,M,,,,,
4/22/07,M,M,M,M,M,,,,,
4/23/07,M,M,M,M,M,,,,,
4/24/07,M,M,M,M,M,,,,,
4/25/07,M,M,M,M,M,,,,,
4/26/07,M,M,M,M,M,,,,,
4/27/07,M,M,0.25,0,0,,,7,7,7
4/28/07,M,M,M,M,M,,,,,
4/29/07,M,M,M,M,M,,,,,
4/30/07,M,M,M,M,M,,,,,
5/1/07,M,M,0,M,M,,,7,,
5/2/07,M,M,0,M,M,,,7,,
5/3/07,M,M,0,M,M,,,7,,
5/4/07,M,M,0,M,M,,,7,,
5/5/07,M,M,0.12,M,M,,,7,,
5/6/07,M,M,0,M,M,,,7,,
5/7/07,M,M,0,M,M,,,7,,
5/8/07,M,M,M,M,M,,,,,
5/9/07,M,M,M,M,M,,,,,
5/10/07,M,M,0,M,M,,,6,,
5/11/07,M,M,M,M,M,,,,,
5/12/07,M,M,M,M,M,,,,,
5/13/07,M,M,M,M,M,,,,,
5/14/07,M,M,M,M,M,,,,,
5/15/07,M,M,M,M,M,,,,,
5/16/07,M,M,M,M,M,,,,,
5/17/07,M,M,M,M,M,,,,,
5/18/07,M,M,M,M,M,,,,,
5/19/07,M,M,M,M,M,,,,,
5/20/07,M,M,M,M,M,,,,,
5/21/07,M,M,M,M,M,,,,,
5/22/07,M,M,M,M,M,,,,,
5/23/07,M,M,M,M,M,,,,,
5/24/07,M,M,M,M,M,,,,,
5/25/07,M,M,0.25,M,M,,,6,,
5/26/07,M,M,0,M,M,,,7,,
5/27/07,M,M,0.1,M,M,,,7,,
5/28/07,M,M,0,M,M,,,8,,
5/29/07,M,M,0,M,M,,,6,,
5/30/07,M,M,0,M,M,,,6,,
5/31/07,M,M,0,M,M,,,7,,
6/1/07,M,M,T,M,M,,,6,,
6/2/07,M,M,M,M,M,,,,,
6/3/07,M,M,M,M,M,,,,,
6/4/07,M,M,0.32,M,M,,,6,,
6/5/07,M,M,0.3,M,M,,,6,,
6/6/07,M,M,0,M,M,,,6,,
6/7/07,M,M,M,M,M,,,,,
6/8/07,84,59,0.11,M,M,7,7,7,,
6/9/07,73,46,0,M,M,6,6,6,,
6/10/07,79,53,0,M,M,8,8,8,,
6/11/07,81,57,0,M,M,6,6,6,,
6/12/07,86,57,0,M,M,6,6,6,,
6/13/07,88,54,0,M,M,9,9,9,,
6/14/07,M,M,M,M,M,,,,,
6/15/07,M,M,M,M,M,,,,,
6/16/07,M,M,M,M,M,,,,,
6/17/07,M,M,M,M,M,,,,,
6/18/07,M,M,M,M,M,,,,,
6/19/07,87,61,1,M,M,8,8,8,,
6/20/07,77,53,0,M,M,6,6,6,,
6/21/07,86,61,0.01,M,M,6,6,6,,
6/22/07,79,59,0.49,M,M,6,6,6,,
6/23/07,72,M,0,M,M,6,,6,,
6/24/07,74,57,0,M,M,6,6,6,,
6/25/07,82,60,0,M,M,6,6,6,,
6/26/07,83,64,0,M,M,6,6,6,,
6/27/07,M,M,M,M,M,,,,,
6/28/07,M,M,M,M,M,,,,,
6/29/07,M,M,M,M,M,,,,,
6/30/07,M,M,M,M,M,,,,,
7/1/07,M,M,M,M,M,,,,,
7/2/07,79,53,0,M,M,7,7,7,,
7/3/07,80,65,0.04,M,M,6,6,6,,
7/4/07,84,67,0.69,M,M,9,9,9,,
7/5/07,86,60,0,M,M,10,10,10,,
7/6/07,M,M,M,M,M,,,,,
7/7/07,86,59,0,M,M,8,8,8,,
7/8/07,91,72,0,M,M,9,9,9,,
7/9/07,94,72,0,M,M,5,5,5,,
7/10/07,86,67,0,M,M,6,6,6,,
7/11/07,M,M,M,M,M,,,,,
7/12/07,77,52,0,M,M,7,7,7,,
7/13/07,79,52,0,M,M,6,6,6,,
7/14/07,77,58,0,M,M,6,6,6,,
7/15/07,M,M,M,M,M,,,,,
7/16/07,84,56,0,M,M,6,6,6,,
7/17/07,81,60,0.01,M,M,7,7,7,,
7/18/07,86,69,0,M,M,6,6,6,,
7/19/07,83,68,0,M,M,7,7,7,,
7/20/07,86,50,0,M,M,6,6,6,,
7/21/07,80,52,0,M,M,9,9,9,,
7/22/07,82,52,0,M,M,8,8,8,,
7/23/07,83,58,0,M,M,6,6,6,,
7/24/07,85,63,0,M,M,6,6,6,,
7/25/07,88,62,0,M,M,7,7,7,,
7/26/07,90,66,0,M,M,7,7,7,,
7/27/07,92,68,1.5,M,M,6,6,6,,
7/28/07,83,61,0,M,M,6,6,6,,
7/29/07,84,59,0,M,M,6,6,6,,
7/30/07,87,57,0,M,M,7,7,7,,
7/31/07,90,62,0,M,M,7,7,7,,
8/1/07,91,62,0,M,M,7,7,7,,
8/2/07,90,66,0,M,M,8,8,8,,
8/3/07,89,56,0,M,M,6,6,6,,
8/4/07,88,56,0,M,M,10,10,10,,
8/5/07,73,59,2.9,M,M,4,4,4,,
8/6/07,80,63,0,M,M,7,7,7,,
8/7/07,83,68,0.27,M,M,7,7,7,,
8/8/07,M,M,M,M,M,,,,,
8/9/07,87,65,0,M,M,24,24,24,,
8/10/07,M,M,M,M,M,,,,,
8/11/07,89,64,0,M,M,4,4,4,,
8/12/07,88,65,0.67,M,M,4,4,4,,
8/13/07,88,63,0,M,M,3,3,3,,
8/14/07,84,63,1.62,M,M,7,7,7,,
8/15/07,83,66,0.03,M,M,7,7,7,,
8/16/07,76,64,0.55,M,M,6,6,6,,
8/17/07,80,57,0,M,M,7,7,7,,
8/18/07,75,57,0,M,M,6,6,6,,
8/19/07,63,58,4.53,M,M,6,6,6,,
8/20/07,M,M,2.16,M,M,,,6,,
8/21/07,68,65,0.21,M,M,7,7,7,,
8/22/07,84,66,0.6,M,M,7,7,7,,
8/23/07,85,68,0.3,M,M,6,6,6,,
8/24/07,81,69,0.2,M,M,8,8,8,,
8/25/07,76,63,0.3,M,M,7,7,7,,
8/26/07,78,56,0,M,M,11,11,11,,
8/27/07,79,61,0,M,M,6,6,6,,
8/28/07,82,62,0.77,M,M,6,6,6,,
8/29/07,90,68,0.5,M,M,6,6,6,,
8/30/07,76,54,0,M,M,7,7,7,,
8/31/07,77,53,0,M,M,6,6,6,,
9/1/07,80,55,0,M,M,6,6,6,,
9/2/07,80,56,0,M,M,6,6,6,,
9/3/07,83,58,0,M,M,6,6,6,,
9/4/07,87,58,0,M,M,7,7,7,,
9/5/07,89,61,0,M,M,7,7,7,,
9/6/07,89,65,0,M,M,7,7,7,,
9/7/07,82,70,0.68,M,M,7,7,7,,
9/8/07,81,56,0.01,M,M,8,8,8,,
9/9/07,80,57,0,M,M,7,7,7,,
9/10/07,72,56,0.01,M,M,7,7,7,,
9/11/07,56,48,0.99,M,M,6,6,6,,
9/12/07,68,41,0,M,M,6,6,6,,
9/13/07,66,44,0,M,M,7,7,7,,
9/14/07,77,46,0.03,M,M,6,6,6,,
9/15/07,58,36,0,M,M,6,6,6,,
9/16/07,62,37,0,M,M,7,7,7,,
9/17/07,70,49,0,M,M,7,7,7,,
9/18/07,82,61,0,M,M,8,8,8,,
9/19/07,84,61,0.07,M,M,6,6,6,,
9/20/07,76,50,0,M,M,6,6,6,,
9/21/07,80,52,0,M,M,6,6,6,,
9/22/07,85,49,0.3,M,M,8,8,8,,
9/23/07,75,47,0,M,M,9,9,9,,
9/24/07,82,64,0,M,M,7,7,7,,
9/25/07,86,69,0.08,M,M,6,6,6,,
9/26/07,74,49,0.17,M,M,7,7,7,,
9/27/07,63,48,0,M,M,6,6,6,,
9/28/07,73,45,0,M,M,7,7,7,,
9/29/07,73,47,0,M,M,6,6,6,,
9/30/07,75,51,0,M,M,6,6,6,,
10/1/07,80,61,0.97,0,0,6,6,6,6,6
10/2/07,77,57,0,0,0,6,6,6,6,6
10/3/07,72,50,1.63,0,0,7,7,7,7,7
10/4/07,73,47,0,0,0,7,7,7,7,7
10/5/07,80,51,0,0,0,7,7,7,7,7
10/6/07,84,61,0,0,0,8,8,8,8,8
10/7/07,87,66,0,0,0,8,8,8,8,8
10/8/07,85,65,0,0,0,7,7,7,7,7
10/9/07,M,M,M,M,M,,,,,
10/10/07,M,M,M,M,M,,,,,
10/11/07,54,46,0,0,0,7,7,7,7,7
10/12/07,55,43,0,0,0,7,7,7,7,7
10/13/07,M,M,M,M,M,,,,,
10/14/07,62,42,0.12,0,0,11,11,11,11,11
10/15/07,M,M,M,M,M,,,,,
10/16/07,60,56,0.45,0,0,7,7,7,7,7
10/17/07,66,52,0,0,0,6,6,6,6,6
10/18/07,70,52,1.23,0,0,6,6,6,6,6
10/19/07,69,53,M,0,0,8,8,,8,8
10/20/07,57,45,0.04,0,0,6,6,6,6,6
10/21/07,73,45,0,0,0,6,6,6,6,6
10/22/07,76,50,0,0,0,7,7,7,7,7
10/23/07,55,37,0,0,0,5,5,5,5,5
10/24/07,62,34,0,0,0,11,11,11,11,11
10/25/07,55,32,0,0,0,11,11,11,11,11
10/26/07,59,42,0.06,0,0,6,6,6,6,6
10/27/07,55,48,0.01,0,0,10,10,10,10,10
10/28/07,58,30,0,0,0,11,11,11,11,11
10/29/07,58,39,0,0,0,8,8,8,8,8
10/30/07,65,42,0,0,0,8,8,8,8,8
10/31/07,69,48,0,0,0,8,8,8,8,8
11/1/07,60,32,0,0,0,8,8,8,8,8
11/2/07,56,33,0,0,0,8,8,8,8,8
11/3/07,59,31,0,0,0,7,7,7,7,7
11/4/07,54,32,0,0,0,7,7,7,7,7
11/5/07,58,35,0,0,0,8,8,8,8,8
11/6/07,49,38,0,0,0,8,8,8,8,8
11/7/07,45,24,0,0,0,7,7,7,7,7
11/8/07,44,28,0,0,0,7,7,7,7,7
11/9/07,49,26,0,0,0,8,8,8,8,8
11/10/07,M,M,M,M,M,,,,,
11/11/07,50,27,0,0,0,11,11,11,11,11
11/12/07,56,47,0,0,0,9,9,9,9,9
11/13/07,61,27,0,0,0,8,8,8,8,8
11/14/07,58,29,0,0,0,8,8,8,8,8
11/15/07,52,36,0,0,0,8,8,8,8,8
11/16/07,44,25,0,0,0,8,8,8,8,8
11/17/07,43,31,0,0,0,7,7,7,7,7
11/18/07,40,32,0.05,0,0,7,7,7,7,7
11/19/07,47,32,0,0,0,8,8,8,8,8
11/20/07,52,34,0,0,0,7,7,7,7,7
11/21/07,44,36,0.28,0,0,7,7,7,7,7
11/22/07,41,30,0.1,1.5,1,7,7,7,7,7
11/23/07,36,23,0,0,1,7,7,7,7,7
11/24/07,36,24,0,0,0,8,8,8,8,8
11/25/07,41,32,0,0,0,11,11,11,11,11
11/26/07,43,29,0,0,0,8,8,8,8,8
11/27/07,39,26,0,0,0,8,8,8,8,8
11/28/07,35,25,0,0,0,7,7,7,7,7
11/29/07,45,22,0,0,0,12,12,12,12,12
11/30/07,34,23,0.03,0,0,7,7,7,7,7
12/1/07,30,18,0,0,0,7,7,7,7,7
12/2/07,39,24,1.57,4.5,5,7,7,7,7,7
12/3/07,39,19,0,0,5,2,2,2,2,2
12/4/07,M,M,M,M,M,,,,,
12/5/07,30,24,0.3,4,8,9,9,9,9,9
12/6/07,28,4,0,0,8,8,8,8,8,8
12/7/07,31,5,0.16,2,9,10,10,10,10,10
12/8/07,M,M,M,M,M,,,,,
12/9/07,M,M,M,M,M,,,,,
12/10/07,25,M,0.02,0,8,7,,7,7,7
12/11/07,33,23,0.13,1,9,7,7,7,7,7
12/12/07,32,21,0.22,3.5,11,6,6,6,6,6
12/13/07,34,21,0,0,9,7,7,7,7,7
12/14/07,M,M,M,M,M,,,,,
12/15/07,28,11,0,0,8,8,8,8,8,8
12/16/07,29,17,0.05,0.5,9,7,7,7,7,7
12/17/07,26,18,0,0,9,7,7,7,7,7
12/18/07,M,M,M,M,M,,,,,
12/19/07,39,20,0,0,8,8,8,8,8,8
12/20/07,36,24,0,0,8,7,7,7,7,7
12/21/07,41,30,0.02,0,6,7,7,7,7,7
12/22/07,43,37,0,0,5,10,10,10,10,10
12/23/07,43,18,0.72,2,4,1,1,1,1,1
12/24/07,24,21,0.03,1,5,8,8,8,8,8
12/25/07,30,21,0,0,5,8,8,8,8,8
12/26/07,42,20,0,0,5,8,8,8,8,8
12/27/07,43,22,0.04,0.4,5,10,10,10,10,10
12/28/07,37,21,0,0,5,8,8,8,8,8
12/29/07,34,25,0.29,3.5,9,7,7,7,7,7
12/30/07,30,10,0,0,9,7,7,7,7,7
12/31/07,31,12,0,0,8,7,7,7,7,7
1/1/08,31,24,0,0,8,8,8,8,0,8
1/2/08,24,10,0.03,0.5,8,8,8,8,0,8
1/3/08,25,6,0,0,8,8,8,8,0,8
1/4/08,28,9,0,0,8,8,8,8,0,8
1/5/08,40,28,0,0,8,8,8,8,0,8
1/6/08,46,40,0,0,4,8,8,8,0,8
1/7/08,49,38,0.03,0,2,8,8,8,0,8
1/8/08,43,37,0.32,0,0,8,8,8,0,8
1/9/08,39,30,0.3,0,0,8,8,8,0,8
1/10/08,37,30,0,0,0,8,8,8,0,8
1/11/08,41,35,0.25,1.5,2,8,8,8,0,8
1/12/08,36,29,0.03,0.5,3,8,8,8,0,8
1/13/08,35,30,0.1,2,5,8,8,8,0,8
1/14/08,33,22,0,0,3,8,8,8,0,8
1/15/08,28,13,0,0,3,8,8,8,0,8
1/16/08,29,17,0,0,3,8,8,8,0,8
1/17/08,39,29,0.12,2,5,8,8,8,0,8
1/18/08,35,8,0.13,2.2,7,8,8,8,0,8
1/19/08,22,2,0,0,5,8,8,8,0,8
1/20/08,14,-2,0,0,5,8,8,8,0,8
1/21/08,17,3,0,0,5,8,8,8,0,8
1/22/08,19,11,0.26,6,11,8,8,8,0,8
1/23/08,20,3,0,0,10,8,8,8,0,8
1/24/08,18,0,0.02,0.5,10,8,8,8,0,8
1/25/08,21,M,0,0,10,8,8,8,0,8
1/26/08,30,2,0.13,2,12,8,8,8,0,8
1/27/08,30,8,0,0,12,8,8,8,0,8
1/28/08,M,M,M,0,8,,,,0,8
1/29/08,M,M,0,0,2,,,8,0,8
1/30/08,M,M,0.13,1,3,,,8,0,8
1/31/08,M,M,0,0,3,,,8,0,8
2/1/08,M,M,0.09,1,4,,,8,0,8
2/2/08,33,23,0,0,4,8,8,8,0,8
2/3/08,33,20,0.12,1.5,5,8,8,8,0,8
2/4/08,35,26,0,0,4,8,8,8,0,8
2/5/08,35,31,0.21,0,3,8,8,8,0,8
2/6/08,35,25,0.25,3.5,7,8,8,8,0,8
2/7/08,25,-3,0.3,6,13,8,8,8,0,8
2/8/08,27,0,0,0,10,8,8,8,0,8
2/9/08,41,21,0,0,10,8,8,8,0,8
2/10/08,32,-10,0,0,8,8,8,8,0,8
2/11/08,2,-14,0,0,8,8,8,8,0,8
2/12/08,17,-4,0.11,2,10,8,8,8,0,8
2/13/08,22,-4,0.03,0.5,11,8,8,8,0,8
2/14/08,29,-2,0,0,10,8,8,8,0,8
2/15/08,29,-4,0.16,2,12,8,8,8,0,8
2/16/08,20,-7,0,0,12,8,8,8,0,8
2/17/08,32,-5,0.55,0,11,8,8,8,0,8
2/18/08,33,16,0.62,8,18,8,8,8,0,8
2/19/08,16,-8,0,0,16,8,8,8,0,8
2/20/08,12,-14,0,0,16,8,8,8,0,8
2/21/08,18,-17,0,0,16,8,8,8,0,8
2/22/08,20,-14,0,0,14,8,8,8,0,8
2/23/08,33,-10,0,0,12,8,8,8,0,8
2/24/08,33,-9,0,0,12,8,8,8,0,8
2/25/08,36,22,0,0,11,8,8,8,0,8
2/26/08,39,23,0.02,0,10,8,8,8,0,8
2/27/08,29,-2,0,0,10,8,8,8,0,8
2/28/08,28,-12,0,0,9,8,8,8,0,8
2/29/08,30,20,0.12,1.5,11,8,8,8,0,8
3/1/08,40,5,0,0,10,8,8,8,0,8
3/2/08,51,25,0,0,8,8,8,8,0,8
3/3/08,53,23,0.64,1,6,8,8,8,0,8
3/4/08,28,3,0,0,6,8,8,8,0,8
3/5/08,33,7,0,0,6,8,8,8,0,8
3/6/08,31,4,0.01,0,6,8,8,8,0,8
3/7/08,27,-6,0,0,6,8,8,8,0,8
3/8/08,25,-10,0,0,6,8,8,8,0,8
3/9/08,34,-3,0,0,6,8,8,8,0,8
3/10/08,33,17,0.03,0.5,6,8,8,8,0,8
3/11/08,32,13,0,0,6,8,8,8,0,8
3/12/08,42,13,0,0,5,8,8,8,0,8
3/13/08,43,20,0,0,4,8,8,8,0,8
3/14/08,51,23,0.03,0,3,8,8,8,0,8
3/15/08,51,15,0,0,2,8,8,8,0,8
3/16/08,45,14,0,0,2,8,8,8,0,8
3/17/08,44,18,0,0,0,8,8,8,0,8
3/18/08,42,27,0.12,0,0,8,8,8,0,8
3/19/08,46,23,0,0,0,8,8,8,0,8
3/20/08,48,14,0,0,0,8,8,8,0,8
3/21/08,47,16,0.08,1,1,8,8,8,0,8
3/22/08,43,11,0.54,4,5,8,8,8,0,8
3/23/08,48,15,0,0,3,8,8,8,0,8
3/24/08,40,18,0.02,0,2,8,8,8,0,8
3/25/08,41,18,0,0,0,8,8,8,0,8
3/26/08,52,20,0,0,0,8,8,8,0,8
3/27/08,53,27,0,0,0,8,8,8,0,8
3/28/08,41,11,0,0,0,8,8,8,0,8
3/29/08,40,12,0,0,0,8,8,8,0,8
3/30/08,50,16,0,0,0,8,8,8,0,8
3/31/08,57,35,0.03,0,0,8,8,8,0,8
4/1/08,42,34,0.43,0,0,8,8,8,0,8
4/2/08,44,16,0,0,0,8,8,8,0,8
4/3/08,51,20,0,0,0,8,8,8,0,8
4/4/08,51,27,0.1,0,0,8,8,8,0,8
4/5/08,63,30,0,0,0,8,8,8,0,8
4/6/08,66,39,0,0,0,8,8,8,0,8
4/7/08,65,36,0.1,0,0,8,8,8,0,8
4/8/08,49,36,0,0,0,8,8,8,0,8
4/9/08,43,33,1.1,0,0,8,8,8,0,8
4/10/08,47,36,0,0,0,8,8,8,0,8
4/11/08,45,37,1.25,0,0,8,8,8,0,8
4/12/08,49,32,0.25,0,0,8,8,8,0,8
4/13/08,39,28,0.05,0,0,8,8,8,0,8
4/14/08,44,24,0,0,0,8,8,8,0,8
4/15/08,53,20,0,0,0,8,8,8,0,8
4/16/08,62,38,0,0,0,8,8,8,0,8
4/17/08,73,44,0,0,0,8,8,8,0,8
4/18/08,64,43,0.63,0,0,8,8,8,0,8
4/19/08,59,43,0.15,0,0,8,8,8,0,8
4/20/08,76,39,0.01,0,0,8,8,8,0,8
4/21/08,77,41,0,0,0,8,8,8,0,8
4/22/08,77,44,0,0,0,8,8,8,0,8
4/23/08,72,37,0.16,0,0,8,8,8,0,8
4/24/08,78,40,0,0,0,8,8,8,0,8
4/25/08,71,55,1.32,0,0,8,8,8,0,8
4/26/08,76,37,0.82,0,0,8,8,8,0,8
4/27/08,52,34,0,0,0,8,8,8,0,8
4/28/08,55,32,0.03,0,0,8,8,8,0,8
4/29/08,48,33,0.06,0,0,8,8,8,0,8
4/30/08,49,28,0,0,0,8,8,8,0,8
5/1/08,61,33,0,0,0,8,8,8,0,8
5/2/08,67,41,0.07,0,0,8,8,8,0,8
5/3/08,70,47,0.47,0,0,8,8,8,0,8
5/4/08,57,28,0.05,0,0,8,8,8,0,8
5/5/08,65,37,0,0,0,8,8,8,0,8
5/6/08,76,38,0,0,0,8,8,8,0,8
5/7/08,81,45,0.45,0,0,8,8,8,0,8
5/8/08,70,36,0.02,0,0,8,8,8,0,8
5/9/08,67,45,0,0,0,8,8,8,0,8
5/10/08,66,34,0,0,0,8,8,8,0,8
5/11/08,64,44,0.4,0,0,8,8,8,0,8
5/12/08,M,M,0,0,0,,,8,0,8
5/13/08,68,46,0,0,0,8,8,8,0,8
5/14/08,70,48,0.07,0,0,8,8,8,0,8
5/15/08,71,36,0,0,0,8,8,8,0,8
5/16/08,72,35,0,0,0,8,8,8,0,8
5/17/08,76,44,0.03,0,0,8,8,8,0,8
5/18/08,75,39,0.08,0,0,8,8,8,0,8
5/19/08,63,32,0,0,0,8,8,8,0,8
5/20/08,70,40,0.02,0,0,8,8,8,0,8
5/21/08,67,32,0,0,0,8,8,8,0,8
5/22/08,69,36,0,0,0,8,8,8,0,8
5/23/08,75,43,0,0,0,8,8,8,0,8
5/24/08,69,35,0,0,0,8,8,8,0,8
5/25/08,79,48,0.25,0,0,8,8,8,0,8
5/26/08,M,M,0,0,0,,,8,0,8
5/27/08,84,44,0,0,0,8,8,8,0,8
5/28/08,62,32,0,0,0,8,8,8,0,8
5/29/08,70,40,0,0,0,8,8,8,0,8
5/30/08,67,44,0.89,0,0,8,8,8,0,8
5/31/08,78,57,0,0,0,8,8,8,0,8
6/1/08,78,46,0,0,0,8,8,8,0,8
6/2/08,85,47,0,0,0,8,8,8,0,8
6/3/08,82,58,0.65,0,0,8,8,8,0,8
6/4/08,66,55,0.05,0,0,8,8,8,0,8
6/5/08,74,58,1.67,0,0,8,8,8,0,8
6/6/08,78,64,0.2,0,0,8,8,8,0,8
6/7/08,83,55,0.02,0,0,8,8,8,0,8
6/8/08,91,65,3.45,0,0,8,8,8,0,8
6/9/08,79,64,3.36,0,0,8,8,8,0,8
6/10/08,74,58,0,0,0,8,8,8,0,8
6/11/08,78,59,0,0,0,8,8,8,0,8
6/12/08,80,65,0,0,0,8,8,8,0,8
6/13/08,74,62,2.18,0,0,8,8,8,0,8
6/14/08,83,49,0.03,0,0,8,8,8,0,8
6/15/08,82,50,0.03,0,0,8,8,8,0,8
6/16/08,80,48,0,0,0,8,8,8,0,8
6/17/08,73,45,0,0,0,8,8,8,0,8
6/18/08,77,46,0,0,0,8,8,8,0,8
6/19/08,74,45,0,0,0,8,8,8,0,8
6/20/08,81,54,0,0,0,8,8,8,0,8
6/21/08,96,56,0,0,0,8,8,8,0,8
6/22/08,86,52,0,0,0,8,8,8,0,8
6/23/08,84,48,0.1,0,0,8,8,8,0,8
6/24/08,80,53,0,0,0,8,8,8,0,8
6/25/08,82,58,0,0,0,8,8,8,0,8
6/26/08,85,63,0,0,0,8,8,8,0,8
6/27/08,86,60,0,0,0,8,8,8,0,8
6/28/08,86,63,0.16,0,0,8,8,8,0,8
6/29/08,83,50,0.07,0,0,8,8,8,0,8
6/30/08,72,50,0,0,0,8,8,8,0,8
7/1/08,78,45,0,0,0,8,8,8,0,8
7/2/08,84,55,0,0,0,8,8,8,0,8
7/3/08,85,50,0.06,0,0,8,8,8,0,8
7/4/08,75,49,0,0,0,8,8,8,0,8
7/5/08,89,44,0,0,0,8,8,8,0,8
7/6/08,86,51,0,0,0,8,8,8,0,8
7/7/08,86,66,0.16,0,0,8,8,8,0,8
7/8/08,87,68,1.7,0,0,8,8,8,0,8
7/9/08,86,51,0.45,0,0,8,8,8,0,8
7/10/08,87,57,0,0,0,8,8,8,0,8
7/11/08,86,61,2.8,0,0,8,8,8,0,8
7/12/08,88,63,1.8,0,0,8,8,8,0,8
7/13/08,78,55,0,0,0,8,8,8,0,8
7/14/08,81,52,0,0,0,8,8,8,0,8
7/15/08,83,55,0,0,0,8,8,8,0,8
7/16/08,89,65,0,0,0,8,8,8,0,8
7/17/08,90,64,0,0,0,8,8,8,0,8
