Image,Percent green,Non_Leg_p,Legume_p,Kernza_P,Non Leg,Legume,Kernza,Non_Leg_cm,Legume_cm,Kernza_cm,Op,Type
3459,31.67331526,0,21.26179224,78.73820776,0,0.067343145,0.249390008,0,168.3578621,623.4750194,SW,IWGm
image7,15.44337286,0,0,100,0,0,0.154433729,0,0,386.0843215,SW,IWGb
image3,11.75555756,10.69860876,0.38378062,88.91761062,0.012576811,0.000451156,0.104527609,31.44202777,1.127888793,261.3190225,SW,IWGb
image5,29.89687775,1.5440983,0,98.4559017,0.004616372,0,0.294352406,11.54092953,0,735.8810143,SW,IWGb
image9,15.56381312,8.838901052,0,91.16109895,0.0137567,0,0.141881431,34.39175104,0,354.7035769,SW,IWGb
image11,18.94077198,6.705489571,0,93.29451043,0.012700715,0,0.176707005,31.75178724,0,441.7675122,SW,IWGb
image1,15.54531112,38.38303118,2.080485938,59.53648288,0.059667616,0.00323418,0.092551315,149.1690403,8.085450294,231.3782873,SW,IWGb
image2,14.83473803,14.32877011,0,85.67122989,0.021256355,0,0.127091025,53.14088772,0,317.7275631,SW,IWGb
image4,21.37482331,25.74468305,0,74.25531695,0.055028805,0,0.158719428,137.5720128,0,396.79857,SW,IWGb
image6,21.45956607,33.40737337,0,66.59262663,0.071690774,0,0.142904887,179.226934,0,357.2622178,SW,IWGb
image8,17.19508215,53.36702167,0,46.63297833,0.091765032,0,0.080185789,229.4125804,0,200.4644733,SW,IWGb
image10,18.49819354,13.25309685,0.520833333,86.22606982,0.024515835,0.000963448,0.159502653,61.28958761,2.40861895,398.7566318,SW,IWGb
image12,14.92171062,16.45223149,0,83.54776851,0.024549544,0,0.124667562,61.37385935,0,311.6689062,SW,IWGb
image14,12.1563173,27.05219825,0,72.94780175,0.032885511,0,0.088677662,82.21377641,0,221.6941561,SW,IWGb
image15,24.09504581,28.37360556,0,71.62639444,0.068366333,0,0.172584126,170.9158315,0,431.4603138,SW,IWGb
image16,10.40005405,25.4085281,0,74.5914719,0.026425007,0,0.077575534,66.06251642,0,193.9388349,SW,IWGb
image17,20.23925317,41.34950008,0,58.65049992,0.0836883,0,0.118704232,209.2207502,0,296.7605791,SW,IWGb
3416,17.92535618,2.752909126,8.850105531,88.39698534,0.004934688,0.015864129,0.158454745,12.33671915,39.66032346,396.1368618,AD,IWGm
3419,12.35571668,0,0,100,0,0,0.123557167,0,0,308.8929171,AD,IWGm
3421,21.15480591,0,10.31543399,89.68456601,0,0.0218221,0.189725959,0,54.55525101,474.3148968,AD,IWGm
3425,12.08765942,0,14.06114041,85.93885959,0,0.016996628,0.103879967,0,42.49156908,259.6999164,AD,IWGm
3428,13.40150263,0,36.75562675,63.24437325,0,0.049258063,0.084756963,0,123.1451572,211.8924087,AD,IWGm
3430,21.67105739,14.33187789,23.47327864,62.19484347,0.031058695,0.050869077,0.134782802,77.64673705,127.1726921,336.9570055,AD,IWGm
3432,26.86907473,10.3848946,42.84018826,46.77491714,0.027903251,0.115107622,0.125679874,69.75812726,287.7690549,314.199686,AD,IWGm
3434,24.11342593,5.684226994,31.84310547,62.47266754,0.013706619,0.076784636,0.150643004,34.26654664,191.9615912,376.6075103,AD,IWGm
3440,11.8146034,0,7.490890933,92.50910907,0,0.008850191,0.109295843,0,22.12547636,273.2396085,AD,IWGm
3442,9.508818484,0,29.2797369,70.7202631,0,0.02784157,0.067246614,0,69.60392585,168.1165362,AD,IWGm
3444,28.90384164,26.56682506,34.13270597,39.30046897,0.07678833,0.098656633,0.113593453,191.970826,246.641582,283.9836329,AD,IWGm
3446,23.94677665,28.3939155,12.56456043,59.04152407,0.067994275,0.030088072,0.141385419,169.9856882,75.22018057,353.4635476,AD,IWGm
3448,16.95290448,3.337315743,13.95527117,82.70741308,0.00565772,0.023658238,0.140213087,14.14429875,59.14559479,350.5327184,AD,IWGm
3450,29.71295647,7.242432238,0,92.75756776,0.021519407,0,0.275610157,53.79851846,0,689.0253934,AD,IWGm
3451,15.67502489,23.81386451,0,76.18613549,0.037328292,0,0.119421957,93.32072975,0,298.5548926,AD,IWGm
3452,24.31763871,0,58.88613992,41.11386008,0,0.143197188,0.0999792,0,357.9929689,249.9479989,AD,IWGm
3453,25.49336535,0,24.68388912,75.31611088,0,0.06292754,0.192006113,0,157.3188509,480.0152829,AD,IWGm
3454,9.301674092,29.81482153,17.05449261,53.13068585,0.027732775,0.015863533,0.049420432,69.33193826,39.65883302,123.551081,AD,IWGm
3455,4.169434117,5.529456841,0,94.47054316,0.002305471,0,0.039388871,5.763676501,0,98.47217642,AD,IWGm
3456,13.96985499,47.29693835,1.05498421,51.64807744,0.066073137,0.001473798,0.072151615,165.1828426,3.684494108,180.3790381,AD,IWGm
3457,31.67074341,41.50585631,0,58.49414369,0.131452133,0,0.185255302,328.6303313,0,463.138254,AD,IWGm
3458,23.4335542,0,34.69176929,65.30823071,0,0.081295146,0.153040396,0,203.237864,382.6009911,AD,IWGm
3459,18.56013871,0,22.2689908,77.7310092,0,0.041331556,0.144269831,0,103.3288896,360.6745783,AD,IWGm
image1,14.45924284,66.5022587,0,33.4977413,0.096157231,0,0.048435198,240.393077,0,121.087994,AD,IWGb
image2,16.54666648,13.46811212,0,86.53188788,0.022285236,0,0.143181429,55.71308984,0,357.9535722,AD,IWGb
image3,12.41820791,10.05932869,0,89.94067131,0.012491884,0,0.111690196,31.22970875,0,279.2254889,AD,IWGb
